SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
Cn1nnc(C(=O)N[C@@H]2CCCN(C(=O)c3ccncc3F)C2)n1,13.979489415818463 0.0 35.40793179055997 7.04767198267719 18.88348407499998 13.08951281182515 35.66513104243058 0.0 0.0 11.814359458703011,5.316788604006331 61.03685628622977 7.04767198267719 5.817220841045895 33.818573603692585 18.460054211687762 0.0 0.0 0.0 4.39041504767482,10.216698334856808 14.573052889090853 4.39041504767482 4.796506222499014 10.197363616602075 0.0 24.121395409968496 25.328197212586186 18.80796704598726 0.0 5.817220841045895 0.0 17.638763956702938 0.0
CCC(=O)Nc1ccnc(OCc2ccccc2)c1,9.53140013787187 0.0 4.9839785209472085 0.0 19.951440787129552 5.316788604006331 54.22486454254134 0.0 5.879988336435371 11.594566004035068,10.05365155780638 10.891158250298714 11.40141914858474 0.0 18.90801031431363 48.661413050844345 0.0 0.0 0.0 5.687386274683562,10.05365155780638 4.794537184071822 4.9839785209472085 0.0 0.0 37.255572541998674 11.629818560158606 24.371418537684256 0.0 6.606881964512918 0.0 11.787168065786876 0.0 0.0
C[C@H](C(=O)N1CCSC[C@@H]1C#N)n1cnc2c1ncnc2N,4.794537184071822 5.261891554738487 24.418944941483456 0.0 19.007418857986547 23.784131096568338 12.654640149529083 0.0 6.069221312792274 34.65080539496164,5.733667477162185 54.41842911938908 4.794537184071822 11.33111286753076 12.965578028838586 12.654640149529083 0.0 11.16387793838399 0.0 5.817862777835028,15.20067685580402 4.794537184071822 14.951935562841626 17.0237765041296 0.0 0.0 6.923737199690624 18.050463619406152 12.396541387556816 23.927702450676726 11.465039998602755 5.907179729351506 0.0 0.0
O=C(CN1Cc2ccccc2C1=O)N[C@@H]1CCSC1,9.589074368143644 0.0 10.216698334856808 0.0 19.007418857986544 18.050463619406152 35.392371257240434 0.0 0.0 23.576244408094126,5.316788604006331 40.8065736381076 11.339293589984397 0.0 22.342261790391824 24.26546827384644 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 11.761884949391115 0.0 18.19910120538483 23.803493789831407 23.902902333504322 0.0 6.544756405912575 0.0 5.907179729351506 5.907179729351506 0.0
Cc1ccnnc1Nc1ccc(N2CCOCC2)c(C)c1,4.736862953800049 0.0 10.197363616602075 0.0 13.847474399381248 36.5199750757078 41.58921482885351 0.0 0.0 17.19263532720215,10.216698334856808 36.500640357453065 4.736862953800049 13.847474399381248 11.126902983393991 30.462311845459514 0.0 0.0 0.0 17.19263532720215,14.953561288656857 0.0 0.0 5.098681808301038 5.098681808301038 0.0 49.239845656621675 24.464285361192275 19.410607500638914 0.0 5.817862777835028 0.0 0.0 0.0
N#Cc1ccc(Br)cc1OC1CC(F)(F)C1,13.517693049149688 5.261891554738487 0.0 0.0 24.868138801694897 0.0 28.23527221291424 0.0 11.818733146076179 15.929943897949348,4.736862953800049 12.026495555842878 0.0 11.33111286753076 18.405094737549014 22.671820721217244 0.0 0.0 0.0 8.78083009534964,4.736862953800049 0.0 8.78083009534964 5.261891554738487 0.0 15.929943897949348 18.19910120538483 17.314362761684432 5.563451491696996 17.92269953382448 0.0 0.0 5.922529168094576 0.0
CCCC[C@H](CC)C(=O)N[C@H]1CCN(c2ccc(C)cc2)C1=O,9.589074368143644 0.0 5.316788604006331 5.917906046161393 58.91716054284987 11.444666136763054 29.828919765543436 0.0 0.0 17.501745733386574,10.216698334856808 24.400956693763547 9.589074368143644 12.841643245852017 51.51503400570829 24.26546827384644 0.0 0.0 0.0 5.687386274683562,10.216698334856808 9.589074368143644 0.0 0.0 0.0 44.38530327385348 38.31893620539187 18.15004872675753 0.0 6.041840829147961 0.0 11.814359458703011 0.0 0.0
C[C@H](CC1CC1)N1CCC[C@@](O)(C(F)(F)F)[C@H](C)C1,18.277772537865165 0.0 4.899909730850478 11.835812092322787 63.77077267158643 13.08951281182515 0.0 0.0 0.0 0.0,0.0 40.91514009509146 0.0 11.835812092322787 45.95158251401129 0.0 0.0 0.0 0.0 13.171245143024459,10.006437125691184 0.0 0.0 13.171245143024459 0.0 19.765380445542643 38.64886452054262 18.50450328122193 0.0 0.0 5.601050810983688 0.0 0.0 6.176298517443475
O=C(Nc1nccs1)[C@@H]1C[C@@H]1c1c(F)cccc1F,13.575367279421462 0.0 4.9839785209472085 5.917906046161393 12.338727669087403 5.316788604006331 46.973900721252605 0.0 0.0 22.375524087125577,5.316788604006331 10.891158250298714 4.794537184071822 17.55234772825318 17.9021791607844 29.77600754746382 0.0 0.0 0.0 13.912388575188972,5.316788604006331 4.794537184071822 13.764808616296849 0.0 11.336785877934737 6.06636706846161 18.55355575984923 28.97616992609877 0.0 11.63444168209179 5.131558479839333 5.907179729351506 0.0 0.0
O=C(CC1CCCC1)N1CCC(NC(=O)[C@H]2CCOC2)CC1,14.325937321943693 0.0 10.216698334856808 11.835812092322787 57.40841381255605 26.303276740850986 0.0 0.0 0.0 11.814359458703011,5.316788604006331 49.05938675955243 14.325937321943693 11.835812092322787 51.36657298340809 0.0 0.0 0.0 0.0 0.0,14.953561288656857 9.589074368143644 0.0 0.0 0.0 12.841643245852019 38.02201416079144 32.15905722841204 12.52478801067431 0.0 0.0 11.814359458703011 0.0 0.0
CCCc1noc(CN[C@H](c2ccccc2)C2CC2)n1,4.523094936973348 0.0 15.457430382078986 5.917906046161393 45.193620926455196 0.0 47.610415254030876 0.0 0.0 0.0,5.316788604006331 10.140641778072654 12.965578028838586 5.917906046161393 49.50662280933945 34.8549302792814 0.0 0.0 0.0 0.0,9.83988354097968 0.0 0.0 4.9839785209472085 0.0 42.41223579912412 30.74382240663642 12.462662452073971 6.544756405912575 0.0 5.824404497999927 5.890723922025908 0.0 0.0
O=C(N[C@@H]1CCN(CCC2CC2)C1)c1coc(C2CC2)n1,9.211688121125169 0.0 15.200676855804016 5.917906046161393 50.484676612865414 19.634269217737724 17.847814912513428 0.0 0.0 5.907179729351506,5.316788604006331 41.46717802803488 0.0 5.917906046161393 60.822024884663634 10.680313932692403 0.0 0.0 0.0 0.0,14.633849271910154 4.794537184071822 4.9839785209472085 0.0 0.0 12.841643245852019 38.14594894377801 25.0492596871345 0.0 6.263162995639057 11.58465191687437 0.0 5.907179729351506 0.0
O=C(c1ccc2c(c1)NC(=O)CO2)N1CCc2ccccc2CC1,14.325937321943693 0.0 4.899909730850478 0.0 12.841643245852019 25.0131833803444 59.15492395432226 0.0 5.749511833283905 17.501745733386574,10.05365155780638 36.41066396589156 17.63618042992384 0.0 21.48489165916281 42.46456947923127 0.0 0.0 0.0 5.687386274683562,14.953561288656857 9.589074368143644 0.0 0.0 0.0 24.26546827384644 42.16764743463084 18.652964303522147 5.687386274683562 5.749511833283905 6.606881964512918 0.0 11.814359458703011 0.0
C[C@H](C(N)=O)N1CCN(Cc2cn3ccccc3n2)CC1,4.794537184071822 0.0 19.184492588909958 5.733667477162185 19.51033443475116 26.1790256236503 36.286716343459446 0.0 0.0 11.554356950119233,5.733667477162185 57.31253877105973 11.339293589984397 0.0 12.617665194539086 30.59278834861098 0.0 5.647177220767728 0.0 0.0,10.134362083423978 14.594356645772777 4.9839785209472085 0.0 0.0 6.06636706846161 19.056471336613843 45.11746917278902 11.735768823996422 5.647177220767728 0.0 5.907179729351506 0.0 0.0
C[C@H](N[C@H]1CCN(C2CCCCC2)C1)C1(Cl)CC1,0.0 0.0 10.216698334856808 0.0 81.29000496198371 13.08951281182515 0.0 0.0 0.0 11.600939890232516,5.316788604006331 40.98911732156061 0.0 0.0 58.29031018309871 0.0 0.0 0.0 0.0 0.0,5.316788604006331 4.899909730850478 0.0 0.0 11.600939890232516 19.26246486877803 39.02784531432067 31.215035299269033 4.874172291441109 0.0 0.0 0.0 0.0 0.0
CC(=O)N1CCOC[C@@H]1C(=O)NC1CN(CCC2CC2)C1,14.325937321943691 0.0 15.116608065707286 5.917906046161393 38.269883726764576 39.392789552676135 0.0 0.0 0.0 11.814359458703011,5.316788604006331 73.09065013137602 14.325937321943691 5.917906046161393 26.186202068468653 0.0 0.0 0.0 0.0 0.0,14.953561288656857 14.488984098994122 0.0 0.0 0.0 12.841643245852019 18.883484074999977 26.558006417428352 19.255604758173796 6.041840829147961 0.0 11.814359458703011 0.0 0.0
CO[C@H]1C[C@H](NCc2cc(Br)ccc2Cl)C1,4.736862953800049 0.0 5.316788604006331 0.0 31.532206868660857 7.109797541277533 33.25790552665556 0.0 0.0 27.530883788181864,5.316788604006331 19.255604758173796 11.281619359712625 0.0 18.405094737549014 22.671820721217244 5.022633313741326 0.0 0.0 0.0,10.05365155780638 0.0 0.0 0.0 0.0 27.530883788181864 36.60419594293384 29.19174760591181 6.103966387748303 0.0 0.0 0.0 0.0 0.0
