SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
CN1CC[C@H](C(=O)N[C@@H]2CN(C(=O)c3cnon3)C[C@@H]2O)C1=O,24.11917788394952 0.0 25.429934579958175 5.917906046161393 18.566628839822272 26.681941200414915 11.890771566461538 0.0 0.0 17.721539188054518,5.316788604006331 81.76896097615825 9.589074368143644 5.917906046161393 16.909286801846292 10.825882508506425 0.0 0.0 0.0 0.0,20.223135460547994 14.383611552215466 4.629038936893349 0.0 0.0 5.156663257125445 11.577484880051454 26.681941200414915 12.145807216896262 12.11474961777447 5.693927994848461 11.814359458703011 5.907179729351506 0.0
Cc1cc(C(=O)N[C@@H]2CCC[C@@H](NC(=O)Cc3cnc[nH]3)C2)n[nH]1,9.589074368143644 0.0 30.798897866509154 0.0 51.1115269726166 0.0 35.672314699384614 0.0 0.0 11.814359458703011,10.633577208012662 44.06336177549542 11.21535880699783 6.923737199690624 47.559607660321234 18.590530714839225 0.0 0.0 0.0 0.0,15.617555728959871 14.687756176444681 4.9839785209472085 5.098681808301038 0.0 0.0 38.673390759856275 29.66838121960592 12.748141697690551 5.693927994848461 0.0 5.907179729351506 5.907179729351506 0.0
CN(C[C@H](O)CNCC(=O)NC1CC1)C(=O)c1cnc2[nH]nnc2c1,14.69560176298435 0.0 35.928214172067285 0.0 24.98745046274828 26.681941200414915 17.82666213177168 0.0 0.0 22.978237397087,10.633577208012662 81.04327223490952 4.794537184071822 0.0 23.199631921620835 12.263210640074686 0.0 11.16387793838399 0.0 0.0,20.640014333703846 9.589074368143644 10.082660329248245 0.0 5.098681808301038 5.213385095654868 18.90801031431363 32.37586919526338 18.21217428535787 5.516700717616262 5.647177220767728 5.907179729351506 5.907179729351506 0.0
O=C(NC/C=C/CN=c1cc[nH]c(-c2nn[nH]n2)n1)c1cnon1,9.423576120965171 0.0 46.22220596806345 4.992404732635669 0.0 13.08951281182515 41.793729371661755 0.0 11.648808995999854 5.907179729351506,10.8044955554641 59.90210990523378 0.0 0.0 10.488465178920283 40.233538094884544 0.0 11.648808995999854 0.0 0.0,10.30076712495354 9.786941916707491 9.613017457840558 5.213385095654868 10.197363616602075 17.30870347079321 16.43641542124192 12.741599977525652 6.544756405912575 6.196843571613076 17.006039444306158 5.824404497999927 5.907179729351506 0.0
NC1[C@H]2COC[C@H]1CN(C[C@H](O)CC1(O)CCNCC1)C2,14.94991774348146 0.0 10.216698334856808 17.56947956948497 37.00932289665798 45.93754595858871 0.0 0.0 0.0 0.0,11.050456081168516 78.79736850700056 4.736862953800049 11.835812092322787 19.26246486877803 0.0 0.0 0.0 0.0 0.0,26.000373824649976 4.899909730850478 0.0 0.0 0.0 0.0 25.93115605767717 43.932743762134486 24.918781127757825 0.0 0.0 0.0 0.0 0.0
Cc1nn[nH]c1C(=O)NC[C@@H](C)NCCN1CCNC1=O,9.589074368143644 0.0 36.261024255126415 0.0 19.88931522852921 32.72378202956288 11.387855989696922 0.0 0.0 11.938294241689578,15.950365812018994 71.01457554350783 0.0 6.923737199690624 23.10613037345937 0.0 0.0 0.0 0.0 4.794537184071822,20.850275542869472 9.893218992372859 4.794537184071822 0.0 5.098681808301038 5.213385095654868 13.847474399381248 38.765622858710834 5.693927994848461 5.693927994848461 0.0 0.0 5.907179729351506 6.031114512338072
O=C(CNCCNC(=O)[C@]12C[C@H]1COC2)NC(=O)NC1CC1,19.120474506015515 0.0 21.267154416025324 11.332896515558172 25.30430569792599 32.84803314676356 0.0 0.0 0.0 17.845473971041084,21.267154416025324 56.7353479469526 14.325937321943693 11.332896515558172 19.26246486877803 0.0 0.0 0.0 0.0 4.794537184071822,20.687228765819043 14.905862972149976 4.794537184071822 0.0 0.0 0.0 19.26246486877803 25.049259687134505 25.17351080433519 0.0 0.0 11.814359458703011 0.0 6.031114512338072
CCOC(=O)[C@](C)(O)CN[C@H]1CCC[C@H]1CCO,19.74445492755328 0.0 5.316788604006331 5.917906046161393 51.173652531216945 19.75852033493841 0.0 0.0 0.0 5.969305287951849,5.316788604006331 47.58377205270332 9.53140013787187 5.917906046161393 39.53076089108529 0.0 0.0 0.0 0.0 0.0,20.26670634748779 0.0 4.794537184071822 0.0 0.0 6.4208216229260096 39.02784531432067 19.193479199573453 6.606881964512918 0.0 5.601050810983688 0.0 0.0 5.969305287951849
CCCN1CCOC[C@@H]1c1n[nH]c(CNC(=O)c2cnn[nH]2)n1,9.53140013787187 0.0 40.808789184663034 0.0 25.93115605767717 26.303276740850986 23.539580562461392 0.0 0.0 5.907179729351506,5.316788604006331 67.7024570508592 11.281619359712625 0.0 41.52367382668473 6.196843571613076 0.0 0.0 0.0 0.0,10.05365155780638 19.891810531524374 4.9839785209472085 5.098681808301038 5.098681808301038 12.137122295345492 12.965578028838586 6.544756405912575 31.997204735699448 11.518332492848387 5.824404497999927 0.0 5.907179729351506 0.0
NC(=O)C1(C(=O)N2CC[C@@H]2CNC(=O)[C@H]2CCNC(=O)C2)CC1,19.178148736287287 0.0 15.533486938863138 17.066563992720358 38.14594894377801 19.634269217737724 0.0 0.0 0.0 23.628718917406022,16.367244685174846 54.20473869514218 19.178148736287287 11.332896515558172 32.10410811463005 0.0 0.0 0.0 0.0 0.0,21.267154416025324 19.178148736287287 0.0 0.0 0.0 0.0 25.683286491704038 31.97299688682513 6.041840829147961 5.41499046939678 0.0 23.628718917406022 0.0 0.0
O=C(c1ccc2c(c1)COB2O)N1CC[C@@H](CN2C(=O)CNC2=O)C1,24.061992261306813 0.0 15.116608065707286 5.917906046161393 13.027703587438928 26.1790256236503 29.32600418877882 0.0 0.0 30.426669565680278,10.779591864421164 65.96673396568269 16.055777282610084 5.917906046161393 22.342261790391824 18.19910120538483 0.0 0.0 0.0 4.794537184071822,19.895079043948158 14.48898409899412 4.794537184071822 0.0 0.0 6.06636706846161 35.49771655812245 25.197720709434723 13.151638370425493 0.0 0.0 5.907179729351506 5.907179729351506 13.149506846562435
O=C(N[C@@H]1C[C@@H](CN[C@@H]2CCC(=O)NC2=O)C1)[C@@H]1CCC(=O)N1,19.178148736287287 0.0 21.267154416025324 5.917906046161393 56.65045222499994 6.544756405912575 0.0 0.0 0.0 23.628718917406022,21.267154416025324 48.29899781076248 19.178148736287287 5.917906046161393 38.524929737556064 0.0 0.0 0.0 0.0 0.0,15.950365812018994 24.494937340293617 0.0 0.0 0.0 0.0 38.14594894377801 18.88348407499998 6.041840829147961 6.041840829147961 0.0 23.628718917406022 0.0 0.0
COCc1nc(C)cc(NC[C@H](O)CNC(=O)[C@H]2CCNC2=O)n1,19.4324647167844 0.0 20.60153424990708 5.917906046161393 26.055407174877853 32.06085536302159 17.584699561309996 0.0 0.0 17.632222236538038,15.950365812018994 59.73687704220169 20.93281928645661 12.841643245852017 17.939154115774397 6.06636706846161 0.0 0.0 0.0 5.817862777835028,25.793756160659747 9.589074368143644 9.967957041894417 0.0 0.0 0.0 13.344558822616634 38.50436182232533 6.103966387748303 18.34265078850934 5.824404497999927 11.814359458703011 0.0 0.0
CCNC(=O)CNC(=O)Nc1cc(C(=O)O)cc(S(C)(=O)=O)c1,27.90793593138511 0.0 10.633577208012662 0.0 11.819220675208399 24.662070599342886 23.762552697081826 0.0 0.0 33.432238940742494,15.950365812018994 50.77720590414762 14.631790320489323 0.0 17.28172587545944 23.094584680902607 0.0 0.0 0.0 10.481923458755384,21.056893206859698 4.794537184071822 18.00687135247258 0.0 0.0 0.0 25.122838405075452 18.48791186410754 17.003691373127346 0.0 9.837253136417502 5.907179729351506 0.0 12.000419800289922
Cn1[nH]c(CNC2(CNC(=O)c3c[nH]c(=O)cn3)CC2)nc1=O,4.794537184071822 0.0 35.36599751430051 7.04767198267719 24.92532490414794 6.544756405912575 44.75010429747366 0.0 0.0 5.907179729351506,21.88258750126814 42.72328169393528 13.592428388589765 0.0 29.15451292277223 21.982761511369795 0.0 0.0 0.0 0.0,15.617555728959871 14.68775617644468 14.460318640164214 4.9839785209472085 0.0 0.0 12.841643245852019 25.328197212586186 12.741599977525652 11.518332492848387 0.0 0.0 11.466446624403513 5.689743398203474
NC(=O)C(=O)N1CC(O)(CNC(=O)c2noc3c2COCC3)C1,28.750096837829567 0.0 15.373361591982253 5.733667477162185 18.628754398422615 26.241151182250643 17.0176269054199 0.0 0.0 17.721539188054518,11.050456081168516 64.72684156410547 27.35364090938262 0.0 21.81216408949172 4.523094936973348 0.0 0.0 0.0 0.0,30.316851097633098 14.383611552215466 0.0 0.0 0.0 5.156663257125445 0.0 6.4208216229260096 38.41148463846056 11.36129822985813 5.693927994848461 0.0 5.907179729351506 11.814359458703011
CC(C)CC(=O)NCCC(=O)N1CC[C@](O)(CNC(=O)C(N)=O)C1,24.28467613112799 0.0 15.533486938863138 11.651573523323577 38.71099007914297 26.1790256236503 0.0 0.0 0.0 23.628718917406022,16.367244685174846 65.4152324777312 19.178148736287287 5.917906046161393 33.10993926815928 0.0 0.0 0.0 0.0 0.0,26.37368181086603 19.178148736287287 0.0 0.0 0.0 13.847474399381248 12.338727669087403 32.475912463589744 6.544756405912575 5.601050810983688 0.0 11.814359458703011 0.0 11.814359458703011
COCC(=O)N[C@@H](C)C(=O)N(CCO)CCNC(=O)c1cnn[nH]1,24.227001900856216 0.0 30.94423565112008 0.0 12.965578028838586 39.95783068804109 11.890771566461538 0.0 0.0 17.721539188054518,10.633577208012662 89.1383965431917 14.325937321943691 0.0 17.412202378610907 6.196843571613076 0.0 0.0 0.0 0.0,25.37687728750389 19.482293360516504 0.0 0.0 5.098681808301038 5.213385095654868 6.923737199690624 26.74406675901526 12.803725536125995 18.34265078850934 0.0 11.814359458703011 5.907179729351506 0.0
O=C(Nc1ccc2ccccc2n1)N[C@H]1Cc2ccccc2NC1=O,9.589074368143644 0.0 10.30076712495354 0.0 12.462662452073971 10.633577208012662 66.2271221763131 0.0 0.0 34.346468226289225,15.950365812018994 22.964113591784745 11.21535880699783 0.0 5.563451491696996 60.6636706846161 0.0 10.902924932081056 0.0 16.29978623659041,10.633577208012662 10.111325788078153 9.77851570501903 0.0 0.0 36.39820241076966 29.828919765543436 17.494432112074367 5.516700717616262 11.85970360698299 0.0 5.907179729351506 0.0 6.031114512338072
CC(=O)NCC(=O)N[C@@H](C)CCNC(=O)C1(C(N)=O)CC1,19.178148736287287 0.0 15.950365812018994 11.148657946558965 39.15178009730724 13.08951281182515 0.0 0.0 0.0 23.628718917406022,21.68403328918118 42.760072558379136 19.178148736287287 5.41499046939678 33.10993926815928 0.0 0.0 0.0 0.0 0.0,21.68403328918118 19.178148736287287 0.0 0.0 0.0 0.0 26.186202068468653 19.51033443475116 6.544756405912575 5.41499046939678 0.0 23.628718917406022 0.0 0.0
Cc1ccc(-c2cc(=NC(=O)[C@H]3CCCc4nn[nH]c43)[nH][nH]2)o1,9.211688121125169 0.0 25.60811232885902 4.992404732635669 32.104108114630044 0.0 40.83491156541396 0.0 11.454175413722904 5.907179729351506,5.48770695145777 31.515292058210523 11.21535880699783 6.923737199690624 35.90765270058478 27.608656875073848 0.0 11.454175413722904 0.0 0.0,4.417150937053347 20.090582608974934 0.0 4.992404732635669 5.098681808301038 5.213385095654868 38.31893620539187 6.06636706846161 17.305762035858315 11.454175413722904 11.247954370332213 0.0 5.907179729351506 0.0
C[C@@H]1CN(c2ncc(C(=O)O)cn2)C[C@H]1NC(=O)[C@]1(C)CCNC1=O,19.49013894705617 0.0 20.60153424990708 11.332896515558172 26.31013685145522 24.534178948588206 17.957138634923147 0.0 0.0 23.732004027641352,15.533486938863138 58.53425923027566 9.589074368143644 11.332896515558172 30.626284698076073 12.393687143226153 0.0 0.0 0.0 5.948339280986494,20.640014333703846 9.589074368143644 14.76249422596624 0.0 0.0 6.923737199690624 19.262464868778025 32.02795636096388 11.605292320844956 5.41499046939678 0.0 17.762698739689505 0.0 5.969305287951849
CC[C@@H](NC(=O)c1cc(C(N)=O)n(-c2ccccc2)n1)C(=O)O,19.490138947056174 0.0 15.097273347452553 5.733667477162185 19.386399651764595 0.0 47.78605840046658 0.0 5.687386274683562 17.78366474665486,11.050456081168516 38.71251771408975 4.794537184071822 0.0 34.3214891804572 36.39820241076966 0.0 5.687386274683562 0.0 0.0,16.156983476009223 9.589074368143644 9.476340119217006 5.098681808301038 0.0 25.122838405075452 18.55355575984923 6.06636706846161 5.687386274683562 11.735768823996422 5.693927994848461 0.0 11.814359458703011 5.969305287951849
Cc1cc(NC(=O)NC[C@@H]2CC(C(N)=O)=NO2)nn1CCC#N,14.426662951880278 5.261891554738487 15.097273347452553 10.889380203912726 32.41410323920352 11.861545009918906 11.760295063310071 0.0 6.069221312792274 23.467842022295308,16.367244685174846 40.07918678156738 16.17688217372103 18.254850067221383 18.53557124070048 11.22207979521215 0.0 0.0 0.0 10.61239996190685,15.888044664905149 14.793128723223337 4.794537184071822 10.360573363039524 0.0 5.15571272675054 6.923737199690624 18.18111668623608 25.57955574754343 5.711685002770702 11.92182916558333 0.0 5.907179729351506 6.031114512338072
CCCNC(=O)NC(=O)CNC[C@H](O)CN(C)C(=O)c1cocn1,23.907289884109517 0.0 25.83425406381668 0.0 19.448525210364934 33.22669760632749 18.350730489278043 0.0 0.0 17.845473971041084,15.950365812018994 72.16655361175526 4.794537184071822 0.0 23.833024001536916 17.073953431482927 0.0 0.0 0.0 4.794537184071822,25.057165270757192 14.905862972149976 9.77851570501903 0.0 0.0 6.923737199690624 6.4208216229260096 26.681941200414915 12.648722793660877 6.263162995639057 12.087567493638984 5.907179729351506 5.907179729351506 6.031114512338072
CC(=O)N1C[C@H](NC(=O)c2n[nH]c(C)c2O)C[C@@H]1C,14.69560176298435 0.0 20.414061951458883 0.0 39.275714880293805 6.544756405912575 11.387855989696922 0.0 5.749511833283905 11.814359458703011,5.316788604006331 50.646598265204766 4.794537184071822 6.923737199690624 36.450689196076 0.0 0.0 0.0 0.0 0.0,15.323225729697514 14.687756176444681 0.0 5.098681808301038 0.0 0.0 20.268296022307258 25.552175263899123 5.693927994848461 0.0 11.443439828132366 5.907179729351506 5.907179729351506 0.0
CC(CO)(CO)CNC(=O)/C=C\c1ccccc1-c1nn[nH]n1,15.007591973753232 0.0 25.94092241191814 5.41499046939678 6.923737199690624 19.75852033493841 35.90493987237732 0.0 11.387855989696924 11.983199836185387,5.316788604006331 56.50288866188315 4.794537184071822 5.41499046939678 12.487188691387619 30.34148838068032 0.0 17.463876096530804 0.0 0.0,15.529843393687742 4.794537184071822 0.0 5.213385095654868 10.197363616602075 31.18920547353706 16.852856694185746 23.59921847384023 13.213763929025836 0.0 0.0 11.731584227351433 0.0 0.0
Cc1nn[nH]c1C(=O)NC1(CNC(=O)[C@@H]2CCN(C)C2)CC1,9.589074368143644 0.0 30.94423565112008 5.917906046161393 31.725127320851996 26.681941200414915 11.387855989696922 0.0 0.0 11.814359458703011,10.633577208012662 64.34588435460869 4.794537184071822 12.841643245852017 35.44485804254677 0.0 0.0 0.0 0.0 0.0,15.53348693886314 14.68775617644468 0.0 0.0 5.098681808301038 5.213385095654868 39.778630457058426 13.08951281182515 17.1507592933932 5.693927994848461 0.0 5.907179729351506 5.907179729351506 0.0
CCNC(=O)NC(=O)CNCCNC(=O)c1ncccc1O,19.490138947056174 0.0 26.25113293697253 0.0 6.923737199690624 26.1790256236503 24.023505703384757 0.0 5.749511833283905 17.845473971041084,21.267154416025324 54.1150055104793 4.794537184071822 0.0 17.412202378610907 18.329577708536295 0.0 0.0 0.0 4.794537184071822,21.056893206859698 14.905862972149976 9.77851570501903 0.0 0.0 0.0 19.056471336613843 25.8311127893508 6.544756405912575 5.749511833283905 5.693927994848461 5.907179729351506 5.907179729351506 6.031114512338072
N#Cc1nccnc1NC[C@H](O)CNC(=O)[C@H]1CCNC(=O)C1,14.69560176298435 5.261891554738487 20.60153424990708 5.917906046161393 18.94560963360032 24.951057821744058 18.087615138074614 0.0 6.069221312792274 17.632222236538038,15.950365812018994 52.627079500924154 9.589074368143644 17.249018913692154 18.53557124070048 12.393687143226153 0.0 0.0 0.0 5.817862777835028,21.056893206859698 9.589074368143644 9.967957041894417 5.261891554738487 0.0 0.0 6.4208216229260096 44.366684030051275 6.103966387748303 6.069221312792274 11.51179077268349 11.814359458703011 0.0 0.0
C=CCCCNC(=S)N[C@]12CCN[C@H]1CC(=O)N2,4.794537184071822 0.0 21.267154416025324 0.0 37.38798735622191 13.08951281182515 12.654955790432378 0.0 0.0 23.237490057122958,21.267154416025324 35.81383029041929 4.794537184071822 0.0 25.683286491704038 12.654955790432378 0.0 0.0 0.0 0.0,21.267154416025324 4.794537184071822 0.0 0.0 6.578935683598497 6.076020106833881 31.60427309481129 19.386399651764595 6.041840829147961 5.662860035369912 5.112436884724758 5.907179729351506 0.0 0.0
C[C@H](CNCC(=O)Nc1ccccc1)N(C)C(=O)CCNC(N)=O,14.383611552215466 0.0 15.533486938863138 5.733667477162185 19.386399651764595 31.99872980442125 30.33183534230805 0.0 0.0 23.532860245724645,21.68403328918118 55.46916573145443 9.589074368143644 0.0 13.344558822616634 30.33183534230805 0.0 0.0 0.0 10.481923458755384,26.583943020031658 9.589074368143644 4.794537184071822 0.0 0.0 18.19910120538483 19.056471336613843 38.28723352125987 6.544756405912575 0.0 0.0 11.814359458703011 0.0 6.031114512338072
NC(=O)C(=O)N1CC(O)(CNC(=O)c2nccs2)C1,19.49013894705617 0.0 15.200676855804016 5.733667477162185 5.601050810983688 19.634269217737724 16.584530038931756 0.0 0.0 29.058325065989255,11.050456081168516 57.94727486341432 9.589074368143644 0.0 9.802160880924587 11.576906342078992 0.0 0.0 0.0 0.0,21.0568932068597 14.383611552215466 4.9839785209472085 0.0 11.336785877934737 0.0 0.0 11.576906342078992 19.634269217737724 5.601050810983688 5.007623696852765 0.0 5.907179729351506 11.814359458703011
N#Cc1ccc(C(=O)NC[C@@H]2CN(C(=O)[C@@H]3CNC(=O)N3)CCO2)[nH]1,19.120474506015515 5.261891554738487 25.834254063816676 0.0 12.145807216896262 32.78590758816322 23.520590126620142 0.0 6.069221312792274 17.845473971041084,15.950365812018994 72.66107702789824 9.53140013787187 11.33111286753076 16.182393173768745 12.13273413692322 0.0 0.0 0.0 4.794537184071822,30.571117017616725 9.589074368143644 4.794537184071822 5.261891554738487 0.0 0.0 12.13273413692322 26.1790256236503 12.71084835226122 23.498918131637158 0.0 5.907179729351506 5.907179729351506 6.031114512338072
NC(=O)c1cc(C(=O)NC[C@H]2C[C@H](NC(=O)[C@@H]3CNC(=O)N3)C2)c[nH]1,19.178148736287287 0.0 26.25113293697253 11.651573523323577 24.925324904147942 13.08951281182515 23.520590126620142 0.0 0.0 23.75265370039259,27.000821893187506 53.909826691460864 4.794537184071822 5.917906046161393 33.688097100541114 12.263210640074686 0.0 0.0 0.0 4.794537184071822,31.984800414134714 14.383611552215466 4.794537184071822 0.0 0.0 0.0 24.825916360475023 25.328197212586186 5.563451491696996 11.735768823996422 0.0 5.907179729351506 11.814359458703011 6.031114512338072
CCS(=O)(=O)NCC(=O)N1CC[C@H]1CNC(=O)c1cc[nH]n1,18.00687135247258 0.0 25.136156815910972 0.0 19.386399651764595 25.387122824484514 17.957138634923147 0.0 0.0 21.837650612110593,10.038883468458419 66.75839344411696 14.817828337479405 0.0 23.833024001536916 12.263210640074686 0.0 0.0 0.0 0.0,10.216698334856808 14.687756176444681 13.139891848781026 5.098681808301038 0.0 0.0 19.410925891078243 19.286356383438225 18.339450841807324 5.693927994848461 0.0 15.930470882759089 5.907179729351506 0.0
CCOCCNC(=O)CNCCNC(=O)[C@]1(C)CCC(=O)N1,19.120474506015512 0.0 21.267154416025324 0.0 32.22804289761661 39.392789552676135 0.0 0.0 0.0 17.721539188054518,21.267154416025324 62.653253993113985 19.120474506015512 0.0 26.689117645233267 0.0 0.0 0.0 0.0 0.0,26.00401736982537 14.383611552215466 0.0 0.0 0.0 0.0 20.268296022307258 32.66197280517665 13.151638370425493 5.538925252383345 0.0 17.721539188054518 0.0 0.0
CCS(=O)(=O)NCCN1CCCNC[C@@H]1C(=O)O,18.318861563241462 0.0 14.938793199308897 0.0 19.386399651764595 38.476635636309666 0.0 0.0 0.0 15.992596441359433,10.038883468458419 68.91201586342959 14.817828337479405 0.0 13.344558822616634 0.0 0.0 0.0 0.0 0.0,10.423315998847038 9.694446914922299 13.139891848781026 0.0 0.0 0.0 19.88931522852921 26.1790256236503 5.752853606746789 6.041840829147961 0.0 10.023291153407584 0.0 5.969305287951849
CNC(=O)NCC(=O)N[C@@H]1CN(C/C=C/Cl)C[C@@H]1O,14.69560176298435 0.0 20.850275542869472 0.0 12.145807216896262 33.22669760632749 11.611222035712094 0.0 0.0 23.539234131922093,15.950365812018994 67.31723619060452 4.794537184071822 0.0 0.0 11.611222035712094 0.0 0.0 0.0 4.794537184071822,21.056893206859698 9.694446914922299 4.794537184071822 0.0 0.0 17.676959997066398 0.0 32.21714312929313 18.69056362280884 0.0 0.0 5.907179729351506 0.0 6.031114512338072
NC(=O)C(=O)N[C@@H]1CCN(Cc2nc(C3CCC3)no2)C[C@@H]1O,19.218696699957697 0.0 20.35734011292946 5.733667477162185 50.29175616067427 13.08951281182515 11.715128420025835 0.0 0.0 11.814359458703011,11.050456081168516 57.196758391188254 16.133830774056218 0.0 43.316320957891264 4.523094936973348 0.0 0.0 0.0 0.0,20.680078412982567 14.488984098994122 0.0 4.9839785209472085 0.0 11.577484880051454 19.26246486877803 19.007418857986544 18.69056362280884 0.0 5.824404497999927 5.890723922025908 0.0 11.814359458703011
N[C@@H]1CCCC[C@H]1NC(=O)NCCN1CCNCC1,4.794537184071822 0.0 20.850275542869472 5.733667477162185 37.76696814999996 39.26853843547545 0.0 0.0 0.0 6.031114512338072,21.684033289181176 62.28324433695991 0.0 0.0 25.683286491704038 0.0 0.0 0.0 0.0 4.794537184071822,21.684033289181176 4.899909730850478 4.794537184071822 0.0 0.0 12.841643245852019 12.841643245852019 51.352220093771365 0.0 0.0 0.0 0.0 0.0 6.031114512338072
Cc1nc(O)c(C(=O)NCCNCC(N)=O)nc1C,14.69560176298435 0.0 20.60153424990708 5.733667477162185 13.847474399381248 19.634269217737724 17.081783984545382 0.0 5.879988336435371 11.814359458703011,16.367244685174846 46.52311311317586 4.794537184071822 13.847474399381248 21.876321168617206 0.0 0.0 0.0 0.0 0.0,21.473772080015554 9.589074368143644 9.967957041894417 0.0 0.0 0.0 13.847474399381248 13.08951281182515 17.932612395609496 0.0 5.693927994848461 11.787168065786876 5.907179729351506 0.0
C[C@H](NCCCNC(=O)C[C@H]1CCOC1)C(=O)NCc1cnn[nH]1,14.325937321943691 0.0 31.361114524275937 5.917906046161393 38.77279930352919 26.303276740850986 11.890771566461538 0.0 0.0 11.814359458703011,15.950365812018994 59.570225740958904 20.870693727856267 5.917906046161393 31.880130063317115 6.196843571613076 0.0 0.0 0.0 0.0,20.687228765819043 14.687756176444681 0.0 0.0 5.098681808301038 5.213385095654868 32.22804289761662 26.179341957864423 24.477368801522072 0.0 0.0 11.814359458703011 0.0 0.0
CCC(=O)N1CCC[C@H](C(=O)NC[C@H](O)CNCC(N)=O)C1,19.49013894705617 0.0 15.533486938863138 11.651573523323577 32.29016845621695 32.72378202956288 0.0 0.0 0.0 17.721539188054518,16.367244685174846 66.55572473105687 14.383611552215466 5.917906046161393 26.186202068468653 0.0 0.0 0.0 0.0 0.0,26.37368181086603 14.383611552215466 0.0 0.0 0.0 6.923737199690624 12.841643245852019 32.59984724657631 18.566628839822272 0.0 0.0 17.721539188054518 0.0 0.0
CCS(=O)(=O)NCc1ccc(C(=O)N2C[C@H](O)C[C@H]2CO)cc1,23.425388958082166 0.0 9.622004595302567 0.0 32.03512244542547 18.90449197717228 35.392371257240434 0.0 0.0 15.930470882759089,4.722094864452088 60.48824042828087 16.56804755932016 0.0 29.265998990082444 24.26546827384644 0.0 0.0 0.0 0.0,15.11296452053189 4.794537184071822 13.139891848781026 0.0 0.0 12.13273413692322 31.040744451236847 18.652964303522147 24.50554278815597 0.0 0.0 10.023291153407584 5.907179729351506 0.0
C[C@@H](NCCNC(=O)C1(C(F)F)CCC1)C(=O)NCC(F)(F)F,31.54114960651775 0.0 15.950365812018994 5.41499046939678 44.82978615991929 19.634269217737724 0.0 0.0 0.0 11.814359458703011,15.950365812018994 50.09221276789136 9.589074368143644 5.41499046939678 26.186202068468653 0.0 0.0 0.0 0.0 21.9520752383741,15.950365812018994 9.589074368143644 8.78083009534964 13.171245143024459 0.0 6.4208216229260096 19.765380445542643 13.08951281182515 6.041840829147961 11.959746875309355 0.0 11.814359458703011 6.425444744859191 6.176298517443475
O=C(Nc1ccnn1-c1ccccc1)C(=O)N[C@@H]1CCCNC1,9.589074368143644 0.0 20.414061951458883 0.0 18.88348407499998 18.406301415831482 42.595045982382736 0.0 5.687386274683562 17.632222236538038,15.950365812018994 40.72619784312234 9.589074368143644 0.0 12.841643245852019 42.595045982382736 0.0 5.687386274683562 0.0 5.817862777835028,15.950365812018994 9.589074368143644 4.681802935145185 5.098681808301038 0.0 18.19910120538483 31.519133788687817 18.652964303522147 11.884229846296638 5.817862777835028 0.0 0.0 0.0 11.814359458703011
O=C(CN1C(=O)CNC1=O)NCc1cccc2[nH]ncc21,14.383611552215466 0.0 25.730850555465214 0.0 6.544756405912575 13.08951281182515 29.959396268694903 0.0 0.0 28.748398903122144,10.633577208012662 46.03226013031879 16.133830774056218 0.0 5.563451491696996 24.395944776997908 0.0 10.902924932081056 0.0 4.794537184071822,10.633577208012662 19.587665907295158 4.794537184071822 5.098681808301038 0.0 12.13273413692322 11.629818560158606 11.93098062037737 18.258300695141912 6.544756405912575 0.0 5.907179729351506 5.907179729351506 6.031114512338072
CNC(=O)NCC(=O)NCCN(CCO)C(=O)Cc1cc[nH]n1,19.49013894705617 0.0 31.047639159471547 0.0 6.4208216229260096 39.833579570840406 17.957138634923147 0.0 0.0 17.845473971041084,15.950365812018994 77.88285428417474 16.009895991069655 0.0 5.693927994848461 12.263210640074686 0.0 0.0 0.0 4.794537184071822,25.95680293771018 14.687756176444681 4.794537184071822 5.098681808301038 0.0 0.0 6.06636706846161 32.87878477202799 25.266387988199963 0.0 0.0 11.814359458703011 0.0 6.031114512338072
Cc1cnn(CC(=O)NCCNCc2nc(O)n[nH]2)c1,9.901064578912528 0.0 35.59540408900817 0.0 20.013250011515776 13.08951281182515 23.781543132923073 0.0 6.010464839586836 5.907179729351506,10.633577208012662 49.06504681701287 17.884049995896973 6.923737199690624 11.387855989696924 12.393687143226153 0.0 0.0 0.0 0.0,15.740104602853368 14.575021927518044 0.0 10.082660329248245 5.098681808301038 0.0 12.487188691387619 19.286356383438225 12.741599977525652 12.369160903912501 0.0 5.907179729351506 0.0 6.010464839586836
Cc1nc(CC(=O)NCC2(NC(=O)[C@@H]3CCNC3=O)CCC2)n[nH]1,14.383611552215466 0.0 31.131707949568277 5.917906046161393 44.56677056670402 13.08951281182515 11.648808995999854 0.0 0.0 17.721539188054518,15.950365812018994 51.53131938981229 20.804433175141472 12.841643245852017 37.332095487703896 0.0 0.0 0.0 0.0 0.0,15.950365812018994 19.482293360516504 4.9839785209472085 5.098681808301038 0.0 0.0 32.60702369139466 13.08951281182515 11.959746875309355 11.74231054416132 5.824404497999927 17.721539188054518 0.0 0.0
CCNC(=O)NC(=O)CNC[C@@H](O)CNC(=O)C1CCN(C)CC1,19.49013894705617 0.0 26.167064146875802 5.917906046161393 25.869346833290944 46.316210418152636 0.0 0.0 0.0 17.845473971041084,21.267154416025324 80.2720879026332 9.589074368143644 5.917906046161393 19.765380445542643 0.0 0.0 0.0 0.0 4.794537184071822,25.956802937710176 14.905862972149976 4.794537184071822 0.0 0.0 0.0 39.90256524004498 25.552175263899116 12.648722793660877 0.0 0.0 11.814359458703011 0.0 6.031114512338072
